prediction	target	loss	dist
l u g e n d a n	l u g e n d a n	0.047594305127859116	0
l i e n e t t e   a s t u n u	l i e n e t t e   a s t u n u	0.05242505669593811	0
i ž n d n a d	i ž a n d a d	1.273552417755127	2
m e č č i d	m e č i č i	2.5818467140197754	2
m e c i n	m e č i n n y	0.8541828989982605	3
m e c a t a	m e č ä t ä	1.9137810468673706	3
m e c i n	m e č i n	1.152008295059204	1
m e č č e d	m e č ä d	1.1688485145568848	2
m e č ä s	m e c a č i	1.7648136615753174	4
e n   a s t u n u	e n   a s t u n u	0.053402118384838104	0
p o i g e	p o i g e	0.048133790493011475	0
l i c e j a d	l i c e j a d	0.04750965163111687	0
v o i ž e l e	v o i n a l e	1.6853663921356201	2
ä l g ä h   a s t u t t u	ä l g ä h   a s t u g a h	0.5346609354019165	3
ä l g ä m m e   a s t u g a y	ä l g ä m m e   a s t u g a m	0.8317022323608398	1
e n   o l i š   a s t u n u	e n   o l i š   a s t u n u	0.053508587181568146	0
k o h e n d a m i n	k o h e m d a m i i ž e n	2.1121485233306885	4
e i   l i e n e   a s t u n u	e i   l i e n e   a s t u n u	0.052448052912950516	0
k ä l ä s	k ü l ä s	0.7912717461585999	1
d i ä d ö d	d i ä d ö d	0.04561972990632057	0
k o r o p a h	k o r p u s s a h	1.4281820058822632	4
k u o l d i h	k u o l ’ t ’ t ’ i h	3.018636703491211	5
o m m a s	o m a s	1.1760056018829346	1
k i l o m e t r i t	k i l o m e t r i d	0.6560637354850769	1
m e c a l	m e č ä l	1.1424392461776733	2
k i g r i a h	k i r g u t t i h	2.2703921794891357	5
m e č č e d	m e c a d	1.9336971044540405	3
k i š t k a d	k i š k o j a t	2.6401774883270264	4
t a l o t	t a l u o i d	2.1524620056152344	3
o l e n	o l e n	0.05298011749982834	0
s u u i h	s u u r e h	1.755151629447937	2
a s t u n e t	a s t u n e t	0.052234306931495667	0
a s t u i t t e	a s t u i t t e	0.050950586795806885	0
e h t e l	e h t a l	1.1546295881271362	1
m e c a n k e	m e č ä n k e	0.8818422555923462	2
p e l d o	p e l d o	0.06008734926581383	0
e m m e   a s t u n u i š	e m m e   a s t u n u i š	0.05326464772224426	0
s t o r o ž a n n u n u	s t o r o ž a n	0.7456632256507874	4
a s t u ž i m m e	a s t u ž i m m e	0.051701806485652924	0
m a u d	m u a d	1.3345063924789429	2
e n   a s t u n e	e n   a s t u n e	0.05245715379714966	0
o l i ž i n   a s t u n u	o l i ž i n   a s t u n u	0.05252626910805702	0
m a u s	m u a d	2.8556082248687744	3
t a l o i ž e n	t a l u o i n	1.6118087768554688	3
a s t u r a k s i j a n u	a f s t r i i s k u o i l e	4.084454536437988	10
m e č ä k s e	m e c a k s	1.0051510334014893	3
m e c i n n u	m e č i s s u a i	2.1064324378967285	5
č a s o u n a s	č a s o u n a s	0.05007047951221466	0
m e č č i d	m e c i č i	3.3399531841278076	3
k a z k a d	a k k a n n u	4.687840938568115	5
k ä l ä	k ü l ä	0.8432952165603638	1
m e c i l e	m e č i l e	0.964686393737793	1
t o i v a n t a n	t o i v o t a n	1.3631654977798462	2
n ä l ’ v e n t a n	n e l ’ l a n p ä i v ä n	2.69395112991333	8
k ä v ü m m e	k ä v ü i m m e	0.7566521167755127	1
s a l o v a s	s a l v o s p i ä i	1.8174757957458496	6
t a l o t	t a l u o i z	2.3363759517669678	3
t u l i	t u l o u	0.9313383102416992	2
o l e u   a s t u n u	o n   a s t u n u	0.7106801271438599	3
k e s k u č a n	k e s k u č a n	0.04959769546985626	0
m e č č i h	m e c c i h e	1.2744170427322388	3
p e d i ä	p e d ä i	2.1469478607177734	2
m e c a s	m e č ä s	1.3405665159225464	2
e i   a s t u n e	e i   a s t u n e	0.052770089358091354	0
p i ä	p i d i	1.3844795227050781	2
m i z e l e	m i e h e l e	1.6917662620544434	2
t a l o t	t a l u o i s	1.6854102611541748	3
p o i g e l	p o i g a l	0.6545059084892273	1
o l d a i š   a s t u t t u	o l d a i š   a s t u t t u	0.0758594423532486	0
m e č ä s	m e c a s	1.1838804483413696	2
m e č i s p i ä i	m e č i s	1.299721598625183	4
e i   o l d a n u i š   a s t u t t t t t t t t t t t t t t t t	e i   o l d a n u i š   a s t u t t u	0.2365260124206543	14
k o h t a d	k o h t a d	0.04880169406533241	0
m ä g e	m ä g i	1.3775608539581299	1
k i r i n a n i š t	k i r d ’ a š t	2.9315409660339355	4
e m m e   a s t u n e	e m m e   a s t u n e	0.05335203930735588	0
m i z e l	m i e h e l	1.7494068145751953	2
k ä l ä l	k ü l ä l	1.6404246091842651	1
o l i š   a s t u n u	o l n u i š   a s t u n u	0.5344622135162354	2
g r i b a d	g r i b a d	0.04733157530426979	0
m e c a l p ä i	m e č ä l p i ä i	1.4136883020401	3
p a l d a d	p a l a d	0.25486913323402405	1
